zone,week,year,Cumulated inflow into reservoirs per week in GWh,Cumulated NATURAL inflow into the pump-storage reservoirs per week in GWh
AL00,17,1986,163.85365,0
AL00,17,1987,176.6425027,0
AL00,17,1988,100.758762,0
AL00,17,1989,44.9287057,0
AL00,17,1990,167.1024104,0
AL00,17,1991,133.7900494,0
AL00,17,1992,104.11113,0
AL00,17,1993,107.971277,0
AL00,17,1994,125.1598562,0
AL00,17,1995,107.1188236,0
AL00,17,1996,217.4546073,0
AL00,17,1997,100.5977089,0
AL00,17,1998,157.9972643,0
AL00,17,1999,144.9447767,0
AL00,17,2000,92.24346028,0
AL00,17,2001,74.34193868,0
AL00,17,2002,74.45170104,0
AL00,17,2003,197.6122411,0
AL00,17,2004,143.1526755,0
AL00,17,2005,209.5732601,0
AL00,17,2006,190.5864247,0
AL00,17,2007,74.13472378,0
AL00,17,2008,99.40571023,0
AL00,17,2009,127.2196955,0
AL00,17,2010,218.1521624,0
AL00,17,2011,74.24551194,0
AL00,17,2012,134.1224139,0
AL00,17,2013,197.0100869,0
AL00,17,2014,104.1798597,0
AL00,17,2015,179.5845441,0
AL00,17,2016,86.72456817,0
AL00,17,2017,92.88049226,0
AL00,18,1982,142.5361598,0
AL00,18,1983,123.4898271,0
AL00,18,1984,183.4457169,0
AL00,18,1985,142.2284149,0
AL00,18,1986,179.6224993,0
AL00,18,1987,123.8550178,0
AL00,18,1988,141.1574626,0
AL00,18,1989,56.17883391,0
AL00,18,1990,105.0466745,0
AL00,18,1991,142.9321249,0
AL00,18,1992,121.1448109,0
AL00,18,1993,104.3686099,0
AL00,18,1994,155.0275258,0
AL00,18,1995,171.9770898,0
AL00,18,1996,109.6320737,0
AL00,18,1997,139.9203281,0
AL00,18,1998,125.9743544,0
AL00,18,1999,217.4812785,0
AL00,18,2000,85.22995371,0
AL00,18,2001,97.97367057,0
AL00,18,2002,102.1672079,0
AL00,18,2003,237.4180198,0
AL00,18,2004,156.2718411,0
AL00,18,2005,136.1278849,0
AL00,18,2006,156.6534448,0
AL00,18,2007,94.1986663,0
AL00,18,2008,73.64438355,0
AL00,18,2009,75.06206178,0
AL00,18,2010,200.2373052,0
AL00,18,2011,83.12395269,0
AL00,18,2012,91.4361428,0
AL00,18,2013,192.3292868,0
AL00,18,2014,76.6982389,0
AL00,18,2015,181.9921351,0
AL00,18,2016,126.1046331,0
AL00,18,2017,103.0422293,0
AL00,19,1982,170.6568642,0
AL00,19,1983,127.8823729,0
AL00,19,1984,145.5048724,0
AL00,19,1985,166.9085311,0
AL00,19,1986,223.0535131,0
AL00,19,1987,119.1260043,0
AL00,19,1988,130.8798083,0
AL00,19,1989,150.1548981,0
AL00,19,1990,84.33646765,0
AL00,19,1991,130.4099844,0
AL00,19,1992,125.4193877,0
AL00,19,1993,114.373397,0
AL00,19,1994,131.0470164,0
AL00,19,1995,187.7982558,0
AL00,19,1996,193.9993158,0
AL00,19,1997,239.2921863,0
AL00,19,1998,107.0572746,0
AL00,19,1999,187.6454092,0
AL00,19,2000,112.5064112,0
AL00,19,2001,108.713968,0
AL00,19,2002,84.3713454,0
AL00,19,2003,189.8816889,0
AL00,19,2004,187.5746279,0
AL00,19,2005,139.0576165,0
AL00,19,2006,158.568644,0
AL00,19,2007,115.1294237,0
AL00,19,2008,89.84920486,0
AL00,19,2009,84.49752082,0
AL00,19,2010,185.22756,0
AL00,19,2011,60.3251837,0
AL00,19,2012,112.909557,0
AL00,19,2013,204.1446398,0
AL00,19,2014,70.19353725,0
AL00,19,2015,183.2897929,0
AL00,19,2016,112.3720292,0
AL00,19,2017,102.334416,0
AL00,20,1982,165.8950245,0
AL00,20,1983,137.9333217,0
AL00,20,1984,182.6671223,0
AL00,20,1985,172.802872,0
AL00,20,1986,251.0665067,0
AL00,20,1987,113.306548,0
AL00,20,1988,113.8348434,0
AL00,20,1989,73.54487936,0
AL00,20,1990,85.90083762,0
AL00,20,1991,83.31065127,0
AL00,20,1992,118.848008,0
AL00,20,1993,139.1407076,0
AL00,20,1994,111.6426738,0
AL00,20,1995,149.0018804,0
AL00,20,1996,201.5431695,0
AL00,20,1997,173.4891432,0
AL00,20,1998,151.2422634,0
AL00,20,1999,142.2376473,0
AL00,20,2000,137.7548297,0
AL00,20,2001,99.09283624,0
AL00,20,2002,97.51615646,0
AL00,20,2003,138.7632072,0
AL00,20,2004,161.2921865,0
AL00,20,2005,139.0350485,0
AL00,20,2006,93.69909372,0
AL00,20,2007,104.1193365,0
AL00,20,2008,98.27320895,0
AL00,20,2009,150.9057956,0
AL00,20,2010,183.6139508,0
AL00,20,2011,57.43545897,0
AL00,20,2012,103.0206871,0
AL00,20,2013,217.7490166,0
AL00,20,2014,78.04410999,0
AL00,20,2015,174.8493757,0
AL00,20,2016,160.5433405,0
AL00,20,2017,99.93400567,0
AL00,21,1982,142.4243458,0
AL00,21,1983,141.2938962,0
AL00,21,1984,230.624038,0
AL00,21,1985,180.4944432,0
AL00,21,1986,226.5966829,0
AL00,21,1987,108.5159855,0
AL00,21,1988,128.8999827,0
AL00,21,1989,99.51855003,0
AL00,21,1990,82.95366717,0
AL00,21,1991,87.67755159,0
AL00,21,1992,78.66985798,0
AL00,21,1993,122.2249955,0
AL00,21,1994,138.1323301,0
AL00,21,1995,125.971277,0
AL00,21,1996,141.7893655,0
AL00,21,1997,163.6218155,0
AL00,21,1998,163.5766795,0
AL00,21,1999,146.2024276,0
AL00,21,2000,121.8126174,0
AL00,21,2001,95.77124281,0
AL00,21,2002,161.6255768,0
AL00,21,2003,110.239357,0
AL00,21,2004,143.0141902,0
AL00,21,2005,141.6242091,0
AL00,21,2006,117.9134893,0
AL00,21,2007,91.79517853,0
AL00,21,2008,128.5224823,0
AL00,21,2009,135.3903229,0
AL00,21,2010,161.4850399,0
AL00,21,2011,65.45836886,0
AL00,21,2012,101.6563514,0
AL00,21,2013,231.0836037,0
AL00,21,2014,82.35459041,0
AL00,21,2015,122.9748673,0
AL00,21,2016,191.9374249,0
AL00,21,2017,101.0090612,0
AL00,22,1982,141.4190458,0
