zone,week,year,Cumulated inflow into reservoirs per week in GWh,Cumulated NATURAL inflow into the pump-storage reservoirs per week in GWh
AL00,8,1991,171.0200031676981,0
AL00,8,1992,228.7324325578868,0
AL00,8,1993,99.54522125886795,0
AL00,8,1994,97.6187381021887,0
AL00,8,1995,101.5147887033962,0
AL00,8,1996,197.791758984,0
AL00,8,1997,147.678577317283,0
AL00,8,1998,91.52846626981133,0
AL00,8,1999,166.2797056879245,0
AL00,8,2000,70.0017095909434,0
AL00,8,2001,91.60642831449059,0
AL00,8,2002,65.9117796944151,0
AL00,8,2003,151.6074540425661,0
AL00,8,2004,155.25012799856609,0
AL00,8,2005,332.0444515544152,0
AL00,8,2006,157.9377669072453,0
AL00,8,2007,178.6325865040755,0
AL00,8,2008,102.3775002767547,0
AL00,8,2009,179.752777988151,0
AL00,8,2010,189.5031626549434,0
AL00,8,2011,109.8105657470944,0
AL00,8,2012,103.5017950263397,0
AL00,8,2013,131.8153528578113,0
AL00,8,2014,88.3289449888302,0
AL00,8,2015,197.9045987855095,0
AL00,8,2016,192.4462298415849,0
AL00,8,2017,98.07214894098115,0
AL00,9,1982,151.4782011790189,0
AL00,9,1983,142.9628994305661,0
AL00,9,1984,179.3927164396981,0
AL00,9,1985,128.9717898597736,0
AL00,9,1986,183.1307913187925,0
AL00,9,1987,152.6250638889057,0
AL00,9,1988,144.7006323738113,0
AL00,9,1989,89.4881174952453,0
AL00,9,1990,61.77568806090567,0
AL00,9,1991,116.4527267904906,0
AL00,9,1992,138.0841167398491,0
AL00,9,1993,84.95708655645285,0
AL00,9,1994,80.23627958784907,0
AL00,9,1995,79.87826967215095,0
AL00,9,1996,174.0902715851321,0
AL00,9,1997,135.5298339602264,0
AL00,9,1998,84.96221563833963,0
AL00,9,1999,192.0133353303397,0
AL00,9,2000,121.7049066425661,0
AL00,9,2001,160.0365872153208,0
AL00,9,2002,89.54556321237737,0
AL00,9,2003,134.3778421684529,0
AL00,9,2004,235.6136088172076,0
AL00,9,2005,346.3186864453585,0
AL00,9,2006,108.6257478312453,0
AL00,9,2007,225.7514101652831,0
AL00,9,2008,88.55975367373587,0
AL00,9,2009,118.3751066816604,0
AL00,9,2010,178.8910922311699,0
AL00,9,2011,116.4988885274717,0
AL00,9,2012,81.2908188237736,0
AL00,9,2013,116.522482304151,0
AL00,9,2014,101.614292892,0
AL00,9,2015,178.6479737497359,0
AL00,9,2016,193.3520257027925,0
AL00,9,2017,112.9587962092076,0
AL00,10,1982,140.0413743878491,0
AL00,10,1983,136.029406536,0
AL00,10,1984,139.3089414944151,0
AL00,10,1985,144.5847151231698,0
AL00,10,1986,160.3904938655095,0
AL00,10,1987,172.4007520116227,0
AL00,10,1988,175.4658913471698,0
AL00,10,1989,109.1232687742642,0
AL00,10,1990,83.01624197049058,0
AL00,10,1991,186.5570180191698,0
AL00,10,1992,133.5459050864151,0
AL00,10,1993,175.4956400221132,0
AL00,10,1994,143.8994697830944,0
AL00,10,1995,156.838091750717,0
AL00,10,1996,133.5325694735095,0
AL00,10,1997,127.4299878446038,0
AL00,10,1998,81.45700107690567,0
AL00,10,1999,126.0564197153208,0
AL00,10,2000,81.13181728528303,0
AL00,10,2001,127.3674130455849,0
AL00,10,2002,91.4453751432453,0
AL00,10,2003,157.8926309866415,0
AL00,10,2004,264.4103261624151,0
AL00,10,2005,268.333047989434,0
AL00,10,2006,188.4137456621887,0
AL00,10,2007,85.99316109758492,0
AL00,10,2008,147.6262606820378,0
AL00,10,2009,152.1737046828679,0
AL00,10,2010,189.4375104067925,0
AL00,10,2011,147.7750040567548,0
AL00,10,2012,69.49803374966038,0
AL00,10,2013,176.0762520916982,0
AL00,10,2014,105.4426396123019,0
AL00,10,2015,107.4522138955472,0
AL00,10,2016,193.6495124522264,0
AL00,10,2017,109.5941184914717,0
AL00,11,1982,183.7473069615849,0
AL00,11,1983,134.0495809276981,0
AL00,11,1984,116.9830738575849,0
AL00,11,1985,164.5932635635472,0
AL00,11,1986,163.9049407743397,0
AL00,11,1987,115.0278678423396,0
AL00,11,1988,132.6811418803019,0
AL00,11,1989,101.2685927728302,0
AL00,11,1990,81.30005117116983,0
AL00,11,1991,192.083090844,0
AL00,11,1992,114.6708837430189,0
AL00,11,1993,129.5329114181887,0
AL00,11,1994,149.1065137145661,0
AL00,11,1995,144.9919642249811,0
AL00,11,1996,165.1061717522264,0
AL00,11,1997,124.9157119036981,0
AL00,11,1998,130.2981704356982,0
AL00,11,1999,160.3299706992453,0
AL00,11,2000,105.3698066495095,0
AL00,11,2001,69.28158649403774,0
AL00,11,2002,100.4017779339623,0
AL00,11,2003,122.0434260470944,0
AL00,11,2004,277.9921349986415,0
AL00,11,2005,241.9336635181132,0
AL00,11,2006,284.9779445284528,0
AL00,11,2007,77.47170445086795,0
AL00,11,2008,209.1475462813585,0
AL00,11,2009,141.2846638372076,0
AL00,11,2010,220.8469820651321,0
AL00,11,2011,129.1277139491321,0
AL00,11,2012,145.5971958876227,0
AL00,11,2013,146.1018975452831,0
AL00,11,2014,101.0070095966038,0
AL00,11,2015,173.5763375800755,0
AL00,11,2016,180.8698920230944,0
AL00,11,2017,107.7127712553962,0
AL00,12,1982,151.4792269953963,0
AL00,12,1983,121.5151306127547,0
AL00,12,1984,167.1198493009811,0
AL00,12,1985,227.1721658479246,0
AL00,12,1986,216.425713478717,0
AL00,12,1987,145.9890577437736,0
AL00,12,1988,95.74970066264153,0
AL00,12,1989,91.99726435426417,0
AL00,12,1990,70.57924421139623,0
AL00,12,1991,99.42212329358492,0
AL00,12,1992,118.1463496295095,0
AL00,12,1993,162.1487431363019,0
AL00,12,1994,81.0610359552453,0
AL00,12,1995,140.7748330976604,0
AL00,12,1996,190.2550860595472,0
AL00,12,1997,84.28209938015095,0
AL00,12,1998,129.2467086489057,0
AL00,12,1999,176.1972984242265,0
AL00,12,2000,90.8524532771321,0
AL00,12,2001,93.40365860762266,0
AL00,12,2002,90.00307731667927,0
AL00,12,2003,124.188408092151,0
AL00,12,2004,229.2504698284529,0
AL00,12,2005,130.4140876863397,0
AL00,12,2006,221.5927505714717,0
AL00,12,2007,216.9211827889812,0
AL00,12,2008,154.9475121672453,0
AL00,12,2009,177.3000510298868,0
AL00,12,2010,218.4445201093585,0
AL00,12,2011,96.84937581916984,0
AL00,12,2012,58.1124977773585,0
AL00,12,2013,179.9897415713208,0
AL00,12,2014,67.43614283116983,0
AL00,12,2015,208.7792782018868,0
AL00,12,2016,194.8138140405283,0
AL00,12,2017,103.6936226889057,0
AL00,13,1982,153.5144466880755,0
AL00,13,1983,69.27235414664152,0
AL00,13,1984,173.4994013517736,0
AL00,13,1985,161.6399382131321,0
AL00,13,1986,162.8945116426415,0
AL00,13,1987,201.3636516099623,0
AL00,13,1988,96.93554439486793,0
AL00,13,1989,112.2673959708679,0
AL00,13,1990,71.94460580966039,0
AL00,13,1991,98.35937752664152,0
AL00,13,1992,69.48162068762265,0
AL00,13,1993,226.0848004879246,0
AL00,13,1994,121.9911094118491,0
AL00,13,1995,110.0475293302642,0
AL00,13,1996,135.6047185557736,0
AL00,13,1997,75.59856374581133,0
AL00,13,1998,118.4417847461887,0
AL00,13,1999,201.0589841458868,0
AL00,13,2000,143.6604545671698,0
AL00,13,2001,84.53650184173587,0
AL00,13,2002,84.9827319658868,0
AL00,13,2003,195.7196099017359,0
AL00,13,2004,349.5643694633208,0
AL00,13,2005,163.5366726948679,0
AL00,13,2006,203.9846124541132,0
AL00,13,2007,196.3904938125283,0
AL00,13,2008,272.1039489926038,0
AL00,13,2009,187.7367068531321,0
AL00,13,2010,193.6259186755472,0
AL00,13,2011,98.05265842981133,0
AL00,13,2012,141.7267906958491,0
AL00,13,2013,200.8753630143397,0
AL00,13,2014,66.19285338181133,0
AL00,13,2015,178.8408272286793,0
AL00,13,2016,174.3005639424906,0
AL00,13,2017,106.0806973990189,0
AL00,14,1982,113.8861342143396,0
AL00,14,1983,118.6592578181887,0
AL00,14,1984,180.8698920230944,0
AL00,14,1985,186.305693006717,0
AL00,14,1986,195.9719607305661,0
AL00,14,1987,199.9131472523774,0
AL00,14,1988,151.5848860822642,0
AL00,14,1989,90.77449123245285,0
AL00,14,1990,81.320567498717,0
AL00,14,1991,144.275944393585,0
AL00,14,1992,89.43785249275473,0
AL00,14,1993,218.0865101936604,0
AL00,14,1994,115.5859119516227,0
AL00,14,1995,177.9924770846038,0
AL00,14,1996,180.3169769956981,0
AL00,14,1997,51.86630185562265,0
AL00,14,1998,86.27731223411321,0
AL00,14,1999,177.9760640225661,0
AL00,14,2000,97.57257636520757,0
AL00,14,2001,44.9256282464151,0
AL00,14,2002,127.5520599935095,0
AL00,14,2003,105.7267907488302,0
AL00,14,2004,255.7657715504151,0
AL00,14,2005,304.0765938421133,0
AL00,14,2006,170.7009742743396,0
AL00,14,2007,176.6784063052076,0
AL00,14,2008,132.669857900151,0
AL00,14,2009,245.9569153501132,0
AL00,14,2010,190.3843389230944,0
AL00,14,2011,88.02017425924531,0
AL00,14,2012,76.04069060445283,0
AL00,14,2013,200.3234738033208,0
AL00,14,2014,69.67447416656606,0
AL00,14,2015,120.2903058581887,0
AL00,14,2016,160.2920154932831,0
AL00,14,2017,113.9025472763774,0
AL00,15,1982,152.3080866283019,0
AL00,15,1983,100.8490338744906,0
AL00,15,1984,168.4862367156227,0
AL00,15,1985,210.499572266717,0
AL00,15,1986,250.6028377231698,0
AL00,15,1987,197.2850056935849,0
AL00,15,1988,151.2453408613585,0
AL00,15,1989,69.6683192683019,0
AL00,15,1990,134.7440586151698,0
AL00,15,1991,188.0629164611321,0
AL00,15,1992,156.9991449219623,0
AL00,15,1993,211.2884250609057,0
AL00,15,1994,142.1176267356227,0
AL00,15,1995,180.2759443406038,0
AL00,15,1996,211.1571205646038,0
AL00,15,1997,119.4388782649812,0
AL00,15,1998,140.8958794301887,0
AL00,15,1999,225.7206356739623,0
AL00,15,2000,207.2467085341133,0
AL00,15,2001,76.07864581041511,0
AL00,15,2002,120.356983922717,0
AL00,15,2003,122.3614291240755,0
AL00,15,2004,206.4588815563019,0
AL00,15,2005,185.1670368278491,0
AL00,15,2006,138.8103947350189,0
AL00,15,2007,72.12412367569813,0
AL00,15,2008,123.8868180772076,0
AL00,15,2009,171.9319539271698,0
AL00,15,2010,183.6149766489057,0
AL00,15,2011,75.88989559698115,0
AL00,15,2012,71.77944937290567,0
AL00,15,2013,189.1338687590944,0
AL00,15,2014,88.87570511796227,0
AL00,15,2015,162.4964948882265,0
AL00,15,2016,84.79603338520756,0
AL00,15,2017,78.80629155781132,0
AL00,16,1982,134.1049750120755,0
AL00,16,1983,83.36194208966039,0
AL00,16,1984,140.8999826956982,0
AL00,16,1985,244.3730548634718,0
AL00,16,1986,193.1345526307925,0
AL00,16,1987,119.5906990888302,0
AL00,16,1988,119.7271326670189,0
AL00,16,1989,32.24858945501887,0
AL00,16,1990,139.4248587450566,0
AL00,16,1991,157.5438534183397,0
AL00,16,1992,109.334586948,0
AL00,16,1993,113.8245852316981,0
AL00,16,1994,181.713113085283,0
AL00,16,1995,142.7320907456604,0
AL00,16,1996,214.765942580151,0
AL00,16,1997,137.8840825462642,0
AL00,16,1998,166.1114718020378,0
AL00,16,1999,201.2774830342642,0
AL00,16,2000,125.4358008070189,0
AL00,16,2001,106.1791757712453,0
AL00,16,2002,114.3980165866415,0
AL00,16,2003,200.5973667760755,0
AL00,16,2004,171.4672591082264,0
AL00,16,2005,261.8847662413585,0
